dataset,alpha,threshold,topics,NMI,matched,total,coverage_%,FMR_%,runtime_s,phase,
News,0.68,0.75,231,0.8549,6844,11109,61.61,61.61,25.77,refine,
News,0.68,0.76,206,0.8810,7719,11109,69.48,69.48,21.14,refine,
News,0.68,0.77,221,0.8614,7595,11109,68.37,68.37,21.18,refine,
News,0.68,0.78,199,0.8485,8213,11109,73.93,73.93,19.80,refine,
News,0.68,0.79,191,0.8629,7794,11109,70.16,70.16,19.50,refine,
News,0.68,0.8,197,0.8624,7717,11109,69.47,69.47,20.80,refine,
News,0.69,0.7,251,0.8735,6699,11109,60.30,60.30,23.01,refine,
News,0.69,0.71,239,0.8815,7127,11109,64.16,64.16,23.31,refine,
News,0.69,0.72,232,0.8556,6590,11109,59.32,59.32,23.89,refine,
News,0.69,0.73,249,0.8696,6948,11109,62.54,62.54,23.15,refine,
News,0.69,0.74,224,0.8631,7312,11109,65.82,65.82,23.16,refine,
News,0.69,0.75,216,0.8642,7363,11109,66.28,66.28,22.39,refine,
News,0.69,0.76,212,0.8723,7311,11109,65.81,65.81,21.10,refine,
News,0.69,0.77,206,0.8587,7852,11109,70.68,70.68,21.48,refine,
News,0.69,0.78,193,0.8451,7748,11109,69.75,69.75,22.44,refine,
News,0.69,0.79,186,0.8435,7406,11109,66.67,66.67,19.45,refine,
News,0.69,0.8,165,0.8538,8316,11109,74.86,74.86,19.19,refine,
News,0.7,0.71,247,0.8753,6552,11109,58.98,58.98,22.75,refine,
News,0.7,0.72,265,0.8764,6487,11109,58.39,58.39,22.14,refine,
News,0.7,0.73,216,0.8638,8026,11109,72.25,72.25,20.35,refine,
News,0.7,0.74,221,0.8765,7515,11109,67.65,67.65,21.57,refine,
News,0.7,0.75,220,0.8711,8100,11109,72.91,72.91,21.53,refine,
News,0.7,0.76,225,0.8642,7713,11109,69.43,69.43,20.99,refine,
News,0.7,0.77,223,0.8706,7675,11109,69.09,69.09,20.92,refine,
News,0.7,0.78,201,0.8490,7898,11109,71.10,71.10,19.73,refine,
News,0.7,0.79,205,0.8539,8287,11109,74.60,74.60,20.15,refine,
